,RequestID,ArrivalTime,DelayTime,FinishTime,InitiatorID,TargetID,IOType,Size,VolumeID,Offset
0,0,0,5479,5479,0,0,1,13824,0,8367358794
1,1,0,1500396,1500396,0,0,0,11776,0,2114804823
2,2,30,5795,5825,0,0,1,512,0,2303381306
3,3,1493,6278,7771,0,0,1,3072,0,3510062998
4,4,1525,51741,53266,0,0,0,1024,0,6572324523
5,5,1529,255865,257394,0,0,0,5632,0,9483154844
6,6,2163,6274,8437,0,0,1,1024,0,5927607970
7,7,2247,7816,10063,0,0,1,2560,0,5404678236
8,8,2961,9688,12649,0,0,1,4096,0,136684580
9,9,3361,65189,68550,0,0,0,6144,0,5795623678
10,10,3396,10239,13635,0,0,1,1536,0,10294054467
11,11,4085,161947,166032,0,0,0,1536,0,3857207472
12,12,5306,10595,15901,0,0,1,3584,0,9588919434
13,13,6768,1199544,1206312,0,0,0,512,0,1391670081
14,14,6784,318717,325501,0,0,0,1024,0,7259231575
15,15,6989,637737,644726,0,0,0,3072,0,1322065312
16,16,7068,265398,272466,0,0,0,4096,0,9001999536
17,17,8566,74208,82774,0,0,0,3072,0,6494575975
18,18,9063,637955,647018,0,0,0,512,0,4880208034
19,19,9181,8026,17207,0,0,1,2048,0,3468757503
20,20,9662,10131,19793,0,0,1,4096,0,8871507999
21,21,9709,758452,768161,0,0,0,6144,0,9946495502
22,22,9865,11874,21739,0,0,1,3072,0,8813713612
23,23,9869,82365,92234,0,0,0,3072,0,723287520
24,24,10136,11949,22085,0,0,1,512,0,3287328359
25,25,10446,11793,22239,0,0,1,8704,0,1201817178
26,26,10474,14671,25145,0,0,1,4608,0,7153060821
27,27,10494,475410,485904,0,0,0,2048,0,1104006651
28,28,10973,147237,158210,0,0,0,2048,0,8442779754
29,29,11122,215389,226511,0,0,0,1536,0,3015785678
30,30,11768,473473,485241,0,0,0,12800,0,398581930
31,31,12368,14083,26451,0,0,1,2048,0,1974956885
32,32,12992,226228,239220,0,0,0,6144,0,9143318287
33,33,13102,1658716,1671818,0,0,0,8192,0,8699701094
34,34,13312,903285,916597,0,0,0,1536,0,5640303261
35,35,14113,14604,28717,0,0,1,3584,0,1661191149
36,36,14466,81802,96268,0,0,0,512,0,2190541082
37,37,15740,611620,627360,0,0,0,2048,0,8583944240
38,38,16648,13695,30343,0,0,1,2560,0,6444549609
39,39,16838,1109755,1126593,0,0,0,13312,0,1594181513
