SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1003	143	143
2004	453	453
3005	789	789
4008	1107	1107
5008	1397	1397
6011	1705	1705
7012	2027	2027
8015	2373	2373
9025	2739	2739
10028	3043	3043
11031	3388	3388
12038	3685	3685
13040	3998	3998
14044	4305	4305
15044	4668	4668
16049	4990	4990
17052	5330	5330
18053	5626	5626
19054	5949	5949
20058	6248	6248
21060	6616	6616
22060	6976	6976
23060	7311	7311
24062	7614	7614
25065	7872	7872
26066	8269	8269
27067	8580	8580
28067	8960	8960
29080	9292	9292
